role_id,position_description_id,legacy_mapping_pd_id,mapping_rank,mapping_code,mapping_name,mapping_level,mapping_validated,validation_notes,framework_code_valid
5d96b669-71b9-5dfe-9489-5d9d3637c7cf,73,10077,1,1003002000,EXECUTIVE SUPPORT,Sub-family,Yes,,1
82a8820c-dd4f-5043-88d0-37819a6f16eb,74,10078,1,1023002001,ENQUIRIES AND STUDENT ADMINISTRATION (DOMESTIC),Specialisation,Yes,,1
c83a0e8f-189c-5ab1-b96b-fe8b2dcec15b,75,10079,1,1009002001,DESIGN AND VISUAL COMMUNICATION,Specialisation,Yes,,1
81205dd5-58d8-504e-934f-49cb6fa8f26b,76,10080,1,1026001000,PROGRAM/PROJECT MANAGEMENT,Sub-family,Yes,,1
da4c0993-056d-5517-8099-a7bc5ce5fddb,77,10081,1,1026002000,PROGRAM/PROJECT AUXILLIARY AND SUPPORT,Sub-family,Yes,,1
1d448716-0290-55f0-a2b5-990f78c8b9b1,78,10083,1,1030008001,HELP DESK/TECHNICAL SUPPORT,Specialisation,Yes,,1
c6c26e3b-cbc8-5ddc-9fbf-c433af34526f,79,10084,1,1003001000,ADMINISTRATION,Sub-family,Yes,,1
989b9328-f03d-5735-ba47-7b1452bf1ac0,80,10085,1,1008002002,COURSE IMPLEMENTATION,Specialisation,,,1
3e829564-df68-5970-8392-20207ee4fc3d,81,10087,1,1030005001,DATABASE ADMINISTRATION,Specialisation,,,1
8869d981-4f23-5afe-9ce7-2a9c815ed501,82,10089,1,1019000000,LIBRARY,Job Family,Yes,,1
71e6afc3-873e-5ca2-8a0f-f197e0812bc0,83,10090,1,1019000000,LIBRARY,Job Family,Yes,,1
09d7af96-ea2b-55db-8ca5-1159b9bb3b80,84,10091,1,1015001002,FACILITIES SERVICES,Specialisation,Yes,,1
dc9050c5-9439-59a7-873d-e31879141956,86,10093,1,1014008001,RECRUITMENT (SPEC),Specialisation,Yes,,1
7a931577-295e-5001-8878-052cf2aca375,87,10094,1,1003000000,BUSINESS SUPPORT,Job Family,Yes,,1
7a931577-295e-5001-8878-052cf2aca375,87,10094,2,1002001000,CORPORATE AND SERVICE OPERATIONS,Sub-family,Yes,,1
7a931577-295e-5001-8878-052cf2aca375,87,10094,3,1002002000,FACULTY OPERATIONS,Sub-family,Yes,,1
c2c58574-77b2-5d94-bdc6-8402ee39ec8d,88,10094,1,1003000000,BUSINESS SUPPORT,Job Family,Yes,,1
c2c58574-77b2-5d94-bdc6-8402ee39ec8d,88,10094,2,1002001000,CORPORATE AND SERVICE OPERATIONS,Sub-family,Yes,,1
c2c58574-77b2-5d94-bdc6-8402ee39ec8d,88,10094,3,1002002000,FACULTY OPERATIONS,Sub-family,Yes,,1
f1723bbb-d53e-581c-9181-0397f9b6fd66,89,10096,1,1000002002,REGULATORY REPORTING,Specialisation,Yes,,1
31f71588-3594-553f-9f65-9bd9d9a3467f,90,10097,1,1029000000,FINANCE,Job Family,Yes,,1
59faaf7d-e6d4-59e5-9c34-0b4e560ee1be,93,10102,1,1030008001,HELP DESK/TECHNICAL SUPPORT,Specialisation,Yes,,1
59faaf7d-e6d4-59e5-9c34-0b4e560ee1be,93,10102,3,"ok,",#N/A,#N/A,Yes,,0
b05ffa4b-56fb-5794-9bbc-8ff89e52b550,94,10103,1,1030001002,CYBER SECURITY AWARENESS AND TRAINING,Specialisation,Yes,,1
09d42bf4-d886-5bad-af8f-5ef4d0f32d2a,95,10103,1,1030001002,CYBER SECURITY AWARENESS AND TRAINING,Specialisation,Yes,,1
e77a075d-5cc5-5e2d-a009-3be00dd62f23,96,10104,1,1009001001,COPYWRITING,Specialisation,Yes,,1
ecb68608-24dd-580f-be24-b4551389208f,97,10105,1,1001001000,BUSINESS ANALYSIS,Sub-family,Yes,,1
0c88cf58-7798-5528-9a79-2604c4ebd2c7,98,10106,1,1014007000,PAYROLL,Sub-family,Yes,,1
a997fc70-a37d-5b00-a075-2117c9e9b20f,99,10108,1,1014012002,EMPLOYEE ADVOCACY,Specialisation,Yes,,1
2471458f-f14d-5b64-a339-a6dd469370ca,101,10110,1,1006000000,CHILDREN’S CENTRES,Job Family,Yes,,1
4e11529a-5199-5dd3-ac1c-ca5b9693ccf1,102,10111,1,1007000000,COMMUNICATIONS,Job Family,Yes,,1
b2dcf3cb-e5aa-5703-8e68-7fa54869e923,103,10113,1,1000001000,ANALYTICS,Sub-family,Yes,,1
b2dcf3cb-e5aa-5703-8e68-7fa54869e923,103,10113,2,1030002001,BUSINESS INTELLIGENCE (BI) DEVELOPMENT,Specialisation,Yes,,1
87a8bf92-96cc-5144-8108-eef9e31732ea,104,10114,1,1015001002,FACILITIES SERVICES,Specialisation,Yes,,1
131cb2f0-79ee-507c-aa4c-657d37173e41,105,10115,1,1014002000,HR BUSINESS PARTNERING,Sub-family,Yes,,1
7f5e4aa3-16ec-5226-9d01-803ff4439b90,106,10116,1,1014005000,ORGANISATION DESIGN,Sub-family,Yes,,1
2eac98e2-0792-5e41-b703-45f41a1ac301,107,10116,1,1014005000,ORGANISATION DESIGN,Sub-family,Yes,,1
0408594d-ca11-5cb3-9b8d-c19d6243a1ca,109,10119,1,1006000000,CHILDREN’S CENTRES,Job Family,Yes,,1
33d57921-ca53-5b4f-a2fb-49b762f806aa,111,10122,1,1010004001,ADVISORY AND OPERATIONS,Specialisation,Yes,,1
